id_produto,id_categoria,id_marca,id_data,id_loja,id_faixa_preco,quantidade_vendida,preco_unitario,desconto_percentual,valor_bruto,valor_desconto,valor_liquido,status_estoque
1,1,1,20170803,1,3,28,59.9,0,1677.2,0.0,1677.2,Em estoque
1,1,1,20170831,2,3,9,59.9,15,539.1,80.86,458.24,Em estoque
1,1,1,20170926,1,3,23,59.9,5,1377.7,68.89,1308.82,Em estoque
1,1,1,20171021,1,3,7,59.9,0,419.3,0.0,419.3,Em estoque
1,1,1,20171118,1,3,22,59.9,0,1317.8,0.0,1317.8,Em estoque
1,1,1,20171223,4,3,12,59.9,5,718.8,35.94,682.86,Em estoque
1,1,1,20180126,3,3,30,59.9,20,1797.0,359.4,1437.6,Em estoque
1,1,1,20180220,2,3,27,59.9,5,1617.3,80.87,1536.43,Em estoque
1,1,1,20180322,3,3,9,59.9,0,539.1,0.0,539.1,Em estoque
1,1,1,20180421,1,3,7,59.9,5,419.3,20.97,398.34,Em estoque
1,1,1,20180517,3,3,16,59.9,10,958.4,95.84,862.56,Em estoque
1,1,1,20180615,1,3,28,59.9,5,1677.2,83.86,1593.34,Em estoque
1,1,1,20180718,1,3,17,59.9,0,1018.3,0.0,1018.3,Em estoque
1,1,1,20180820,3,3,25,59.9,10,1497.5,149.75,1347.75,Em estoque
1,1,1,20180919,2,3,27,59.9,0,1617.3,0.0,1617.3,Em estoque
1,1,1,20181014,2,3,29,59.9,0,1737.1,0.0,1737.1,Em estoque
1,1,1,20181109,2,3,8,59.9,5,479.2,23.96,455.24,Em estoque
1,1,1,20181208,4,3,25,59.9,20,1497.5,299.5,1198.0,Em estoque
1,1,1,20190107,2,3,16,59.9,0,958.4,0.0,958.4,Em estoque
1,1,1,20190204,3,3,27,59.9,15,1617.3,242.59,1374.7,Em estoque
1,1,1,20190311,1,3,24,59.9,15,1437.6,215.64,1221.96,Em estoque
1,1,1,20190407,2,3,10,59.9,5,599.0,29.95,569.05,Em estoque
1,1,1,20190508,3,3,25,59.9,15,1497.5,224.62,1272.88,Em estoque
1,1,1,20190610,2,3,26,59.9,0,1557.4,0.0,1557.4,Em estoque
